system	prompt	primary_color	palette
3do	Detailed pixel-art poster, 1280x720, of the 3DO (Panasonic 1993) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #d4a53a; neon rim light; glowing marquee sign reading "3DO". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	d4a53a	FF0000,0000A0,FFE41B,23B14D
adam	Detailed pixel-art poster, 1280x720, of the Coleco Adam (Coleco 1983) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5A93AF; neon rim light; glowing marquee sign reading "Coleco Adam". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5A93AF	999999,777777,555555,333333
ags	Detailed pixel-art poster, 1280x720, of the Adventure Game Studio (Chris Jones 1997) engine as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #4B73E0; neon rim light; glowing marquee sign reading "Adventure Game Studio". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	4B73E0	9FCFFF,63B6FF,2C90FF,9FCFFF
amiga	Detailed pixel-art poster, 1280x720, of the Amiga (Commodore 1985) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #336ec8; neon rim light; glowing marquee sign reading "Amiga". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	336ec8	477AB1,82B030,F3EB08,E85629
amiga1200	Detailed pixel-art poster, 1280x720, of the Amiga 1200 (Commodore 1992) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #2671C6; neon rim light; glowing marquee sign reading "Amiga 1200". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	2671C6	192753,5F87C0,F3AD2D,ED2224
amiga600	Detailed pixel-art poster, 1280x720, of the Amiga 600 (Commodore 1985) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #C171A5; neon rim light; glowing marquee sign reading "Amiga 600". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	C171A5	192753,5BA079,F9EA38,ED2224
amigacd32	Detailed pixel-art poster, 1280x720, of the Amiga CD32 (Commodore 1993) console as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #e95535; neon rim light; glowing marquee sign reading "Amiga CD32". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	e95535	FF5853,47DEBA,FFDF46,4A9BE4
amstradcpc	Detailed pixel-art poster, 1280x720, of the Amstrad CPC (Amstrad 1984) computer as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #517d9f; neon rim light; glowing marquee sign reading "Amstrad CPC". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	517d9f	E91C23,00A651,1C75BC,3E3E3E
android	Detailed pixel-art poster, 1280x720, of the Google Android (Google 2008) os as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #2ec681; neon rim light; glowing marquee sign reading "Google Android". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	2ec681	4086F4,EB4132,FBBD00,31AA52
androidapps	Detailed pixel-art poster, 1280x720, of the Android Apps (Google 2008) os as the hero subject in an atmospheric scene evoking its era. Dominant light keyed to #5A9035; neon rim light; glowing marquee sign reading "Android Apps". Saturated midtones, painterly depth. Left 45% and bottom 30% darkened for overlaid white text. No copyrighted character likenesses.	5A9035	4086F4,EB4132,FBBD00,31AA52
